t_gd_1,e_gd_1,t_l-bfgs_1,e_l-bfgs_1,t_malbani_1,e_malbani_1,t_ours_1,e_ours_1,t_ours-64_1,e_ours-64_1,t_gd_2,e_gd_2,t_l-bfgs_2,e_l-bfgs_2,t_malbani_2,e_malbani_2,t_ours_2,e_ours_2,t_ours-64_2,e_ours-64_2,t_gd_3,e_gd_3,t_l-bfgs_3,e_l-bfgs_3,t_malbani_3,e_malbani_3,t_ours_3,e_ours_3,t_ours-64_3,e_ours-64_3,t_gd_4,e_gd_4,t_l-bfgs_4,e_l-bfgs_4,t_malbani_4,e_malbani_4,t_ours_4,e_ours_4,t_ours-64_4,e_ours-64_4,t_gd_5,e_gd_5,t_l-bfgs_5,e_l-bfgs_5,t_malbani_5,e_malbani_5,t_ours_5,e_ours_5,t_ours-64_5,e_ours-64_5
0.001249882512991982,nan,0.015514272575965151,nan,0.44261650341962067,nan,0.00048532334889750926,0.005444032,0.014795601844588028,0.0003398785,0.0013078941760052527,nan,0.021484976499674045,nan,0.6707982856979859,nan,0.0005117564241435113,0.04988781,0.012500233294309248,0.0021674195,0.0011560611314240046,nan,0.021210060902272485,nan,0.7384984758516241,nan,0.0005421101136099813,0.16514337,0.014801497863206479,0.003578128,0.001289656960438671,nan,0.021231833730624722,nan,0.8053168684543509,nan,0.0005566801565499711,0.23862892,0.01306124836139913,0.00714568,0.0011934260208592087,nan,0.02132602979794943,nan,0.8248211492817583,nan,0.0006199330051562615,0.318948,0.01527630832279101,0.010655058
0.0012977958478066804,nan,0.015970588542654048,nan,0.4560792381442817,nan,0.0005008843504391345,0.0054434165,0.01532296013020511,0.00033989013,0.0013540835171339234,nan,0.02212724212856431,nan,0.6924641442851031,nan,0.0005235791442849275,0.04989023,0.012895691329945943,0.0021666572,0.0011857588270047148,nan,0.022042186741184973,nan,0.7639458791652162,nan,0.0005542312784486317,0.16524184,0.015249884722953928,0.0036440971,0.0015099099184319909,nan,0.02239835761554007,nan,0.8344453831502635,nan,0.0006002479535860142,0.23842981,0.013431442208820954,0.0071196626,0.0011898034361157834,nan,0.021932389143122625,nan,0.8443882705677035,nan,0.0006176277625574066,0.32152638,0.015608596604350686,0.010658389
0.0013080480608789783,nan,0.01645379754564991,nan,0.4693977755627462,nan,0.0005127612576886479,0.0054428247,0.015702630382563386,0.00033988807,0.0013769514697238006,nan,0.022544015213913686,nan,0.7137867512480754,nan,0.0005390452258954091,0.04988442,0.013330889528650525,0.0021659883,0.0012546209637241971,nan,0.022600345454910502,nan,0.7891410172783903,nan,0.0005677112775987812,0.1653824,0.01538458370603621,0.0036403027,0.0013294511534539717,nan,0.02253203439925398,nan,0.8528815202548036,nan,0.0005894779739901424,0.23896168,0.013787443105663572,0.0071079913,0.0012643272349877018,nan,0.022409610558367734,nan,0.8607800628690582,nan,0.0006373817441219996,0.3222801,0.016257070798393607,0.010573272
0.0013013380514125207,nan,0.017000984325672368,nan,0.4832578584485288,nan,0.0005380848141420366,0.005442242,0.016166294209958455,0.0003398856,0.0013750371991523673,nan,0.023339615329833967,nan,0.7347651597145679,nan,0.0005591378438486052,0.04988633,0.013640427541353608,0.0021649662,0.001161181110988504,nan,0.022845040802245163,nan,0.81086313400218,nan,0.0005837095278880692,0.16575412,0.01592878525128721,0.0036330773,0.0013484694541465224,nan,0.02307680141446846,nan,0.8772539773157665,nan,0.0006058005251522575,0.23943257,0.014238731364187384,0.007042938,0.001302114404006196,nan,0.02406223838749741,nan,0.9029096194343376,nan,0.0006537837264227813,0.32231104,0.016474142855565463,0.010534801
0.001333537891989441,nan,0.017459413788414428,nan,0.4970583311514929,nan,0.0005407926721465109,0.0054416712,0.01639609607984312,0.00033989118,0.001400022232156646,nan,0.023977055716594416,nan,0.754104087561635,nan,0.0005639712030201086,0.049881835,0.01402298535702617,0.0021645231,0.0011848333747225947,nan,0.02350442201131955,nan,0.8307433614474056,nan,0.000607976821151429,0.1651926,0.016520542523025403,0.0036249105,0.0014236254372933348,nan,0.024382208267758998,nan,0.9168348787186135,nan,0.0006169749127002434,0.24122752,0.014815219894350905,0.0070479154,0.001290086464174757,nan,0.02390763351327873,nan,0.9214381318639165,nan,0.0006737414204149641,0.32411945,0.017048511695881775,0.01049427
0.0013518375281377562,nan,0.017789777025713455,nan,0.5105770108389801,nan,0.0005699359887179786,0.005441127,0.01710334453681883,0.00033988728,0.001413572827254289,nan,0.02454288750055379,nan,0.7772753901413775,nan,0.0005811533059958102,0.04988325,0.01440613268575232,0.0021648975,0.0012519009790017404,nan,0.02462431945771511,nan,0.870051498292014,nan,0.0006149630565695198,0.16517729,0.016770946275875238,0.0036254423,0.0014105992951164287,nan,0.024656642101971167,nan,0.9258431335911155,nan,0.0006378335650245261,0.2406425,0.015003222149929829,0.0070087784,0.001359344496158883,nan,0.024452982029678032,nan,0.9395551117236859,nan,0.0006861565668202404,0.32463363,0.017495909568554322,0.010482611
0.001382816305018163,nan,0.018299724799913486,nan,0.5243017790074062,nan,0.0005756458228819871,0.0054405998,0.017255902357199895,0.00033988775,0.0014355519447375887,nan,0.02509964255815638,nan,0.7978978557013241,nan,0.0005930484938767872,0.049878225,0.01485373617865012,0.0021643306,0.0012068081798663895,nan,0.024810413670326985,nan,0.875304574130236,nan,0.0006322221299799692,0.1651475,0.017317707474243695,0.0036249405,0.0014070191422444103,nan,0.02502346369936796,nan,0.9521349248742419,nan,0.0006636275844315865,0.24093887,0.01547157767727705,0.007016389,0.0013517454912486885,nan,0.02572648805798963,nan,0.981569217867218,nan,0.0007115897314423429,0.3258731,0.018008449054323136,0.010468138
0.001408770327423034,nan,0.018768859608597786,nan,0.5378204309880468,nan,0.0005997066781357197,0.0054400796,0.01772431135260766,0.00033988766,0.0014570438048769057,nan,0.025731681142601052,nan,0.8209036905817422,nan,0.0006045496211320694,0.04988005,0.015268120480302188,0.0021644162,0.0012635059164271558,nan,0.025392689328041996,nan,0.8981200191524944,nan,0.0006528123589897794,0.16506644,0.017640799257039493,0.0035648837,0.0014441292468358629,nan,0.02582833251383688,nan,0.9818788459857127,nan,0.0006718081051616797,0.24163589,0.015877065305498296,0.007051409,0.0013551751975901425,nan,0.025848059248112676,nan,1.0129810877011292,nan,0.0007406295497036938,0.32696432,0.018697556917156494,0.010447629
0.0014517473857350914,nan,0.01982283813030725,nan,0.5560977940081752,nan,0.0005953131787079785,0.0054395734,0.01850878246710636,0.00033988533,0.0015601611517403007,nan,0.026181679400282782,nan,0.840355019168263,nan,0.0006272211035580508,0.04987517,0.01568741046690515,0.0021972419,0.0012531952061357774,nan,0.025920124328695237,nan,0.9212112214216697,nan,0.0006650196931524469,0.16527574,0.018165947398270616,0.003542469,0.0014613255571374402,nan,0.026364476396702228,nan,1.0069028577002297,nan,0.0006732177156955004,0.24157342,0.016259694232472352,0.0070400927,0.0014193595687060484,nan,0.026497751068589943,nan,1.0232249437166112,nan,0.0007519831750043002,0.3268126,0.01889999325154349,0.010421706
0.0015227956629990202,nan,0.02052650364182357,nan,0.5664333057356998,nan,0.0006186667278442265,0.0054390924,0.01884981418577289,0.00033989138,0.0015384298924223654,nan,0.026319540242132334,nan,0.86954673584218,nan,0.0006761031858623028,0.04987523,0.016002899642667868,0.0021787172,0.001275839090846213,nan,0.02650704526874636,nan,0.944329091281231,nan,0.0006887621974206663,0.16498335,0.018671545108580694,0.0036079977,0.0014797410905760314,nan,0.0270165944422063,nan,1.0323636635772087,nan,0.0007209081525714801,0.24182867,0.01671259687282145,0.006968223,0.0014465708384190554,nan,0.026898899970443122,nan,1.0395789323873552,nan,0.000765164750445235,0.3269815,0.0192934231471736,0.010399753
